epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,185.747,0.47048,0.3443,0.82155,0.9997,1,0.995,0.93232,0.36632,0.29713,0.75861,0.000957358,0.000957358,0.000957358
45,189.839,0.49052,0.34496,0.82134,0.99948,1,0.995,0.89799,0.43204,0.3073,0.76204,0.000940855,0.000940855,0.000940855
46,194.004,0.50387,0.35111,0.82416,0.9996,1,0.995,0.91178,0.40157,0.29251,0.76219,0.000924352,0.000924352,0.000924352
47,198.155,0.47171,0.3353,0.82316,0.99941,1,0.995,0.94182,0.35496,0.29463,0.75359,0.000907848,0.000907848,0.000907848
48,202.314,0.45721,0.33542,0.81505,0.99964,1,0.995,0.90901,0.44026,0.28995,0.7614,0.000891345,0.000891345,0.000891345
49,206.8,0.47696,0.33872,0.81436,0.99967,1,0.995,0.90241,0.46401,0.31957,0.77871,0.000874842,0.000874842,0.000874842
50,210.949,0.46315,0.33641,0.82175,0.99968,1,0.995,0.90392,0.45479,0.3163,0.77554,0.000858338,0.000858338,0.000858338
51,215.113,0.44827,0.32492,0.82005,0.9996,1,0.995,0.9115,0.42123,0.29584,0.76515,0.000841835,0.000841835,0.000841835
52,219.384,0.49009,0.33674,0.82065,0.99889,1,0.995,0.92745,0.36685,0.28431,0.75819,0.000825332,0.000825332,0.000825332
53,223.585,0.47813,0.3336,0.82218,0.99975,1,0.995,0.9185,0.44951,0.29514,0.77338,0.000808828,0.000808828,0.000808828
54,227.656,0.448,0.32145,0.81668,0.99953,1,0.995,0.94053,0.35809,0.26738,0.75724,0.000792325,0.000792325,0.000792325
55,231.772,0.45398,0.32687,0.81168,0.99958,1,0.995,0.91295,0.42998,0.30654,0.76516,0.000775822,0.000775822,0.000775822
56,235.966,0.45747,0.32631,0.81553,0.99958,1,0.995,0.91689,0.42361,0.28469,0.76794,0.000759318,0.000759318,0.000759318
57,240.025,0.45558,0.32074,0.81113,0.99971,1,0.995,0.92541,0.413,0.27856,0.77651,0.000742815,0.000742815,0.000742815
58,244.186,0.44697,0.31417,0.82007,0.99962,1,0.995,0.92274,0.38673,0.27385,0.77001,0.000726312,0.000726312,0.000726312
59,248.429,0.43596,0.3106,0.80895,0.99957,1,0.995,0.90747,0.43752,0.28832,0.77686,0.000709809,0.000709809,0.000709809
60,252.495,0.45321,0.3156,0.81935,0.99923,1,0.995,0.93528,0.33995,0.25243,0.7577,0.000693305,0.000693305,0.000693305
61,256.641,0.42578,0.30829,0.80828,0.99969,1,0.995,0.95201,0.32946,0.25697,0.74918,0.000676802,0.000676802,0.000676802
62,260.768,0.4289,0.30228,0.81347,0.99976,1,0.995,0.93162,0.36782,0.26092,0.75906,0.000660299,0.000660299,0.000660299
63,264.653,0.42528,0.30125,0.80265,0.99972,1,0.995,0.92982,0.37586,0.27106,0.7643,0.000643795,0.000643795,0.000643795
64,268.681,0.41244,0.29855,0.80976,0.99976,1,0.995,0.92901,0.39298,0.25755,0.7685,0.000627292,0.000627292,0.000627292
65,273.038,0.39673,0.28691,0.81022,0.99974,1,0.995,0.92185,0.41012,0.26167,0.76675,0.000610789,0.000610789,0.000610789
66,277.28,0.42306,0.30214,0.81027,0.99971,1,0.995,0.92581,0.39422,0.26789,0.76637,0.000594286,0.000594286,0.000594286
67,281.486,0.4191,0.30563,0.81113,0.99974,1,0.995,0.92675,0.39677,0.27229,0.76958,0.000577782,0.000577782,0.000577782
68,285.736,0.43372,0.29803,0.80976,0.99974,1,0.995,0.93804,0.3577,0.24914,0.76142,0.000561279,0.000561279,0.000561279
69,289.906,0.43081,0.29164,0.81443,0.9997,1,0.995,0.9408,0.35447,0.24714,0.75937,0.000544776,0.000544776,0.000544776
70,294.484,0.40563,0.28808,0.80282,0.99968,1,0.995,0.94563,0.34533,0.24468,0.75657,0.000528272,0.000528272,0.000528272
71,298.599,0.40103,0.2841,0.80645,0.99957,1,0.995,0.94318,0.36629,0.25068,0.76372,0.000511769,0.000511769,0.000511769
72,302.989,0.39805,0.28028,0.8044,0.99945,1,0.995,0.94709,0.3429,0.25425,0.7642,0.000495266,0.000495266,0.000495266
73,307.041,0.40185,0.28281,0.7993,0.99972,1,0.995,0.95096,0.33202,0.24957,0.76056,0.000478762,0.000478762,0.000478762
74,311.289,0.39877,0.28409,0.80768,0.99973,1,0.995,0.93715,0.36094,0.25414,0.76403,0.000462259,0.000462259,0.000462259
75,315.548,0.40668,0.28159,0.80271,0.99969,1,0.995,0.9373,0.34966,0.25443,0.76173,0.000445756,0.000445756,0.000445756
76,319.507,0.40573,0.28297,0.8116,0.99972,1,0.995,0.93197,0.39256,0.26772,0.76946,0.000429253,0.000429253,0.000429253
77,323.898,0.4045,0.27809,0.8054,0.99968,1,0.995,0.93676,0.37241,0.26932,0.76682,0.000412749,0.000412749,0.000412749
78,328.039,0.38962,0.27714,0.80062,0.9997,1,0.995,0.95337,0.32259,0.23678,0.75642,0.000396246,0.000396246,0.000396246
79,332.197,0.39904,0.27848,0.80049,0.99974,1,0.995,0.94792,0.32323,0.23837,0.75578,0.000379743,0.000379743,0.000379743
80,336.532,0.38614,0.271,0.80731,0.99971,1,0.995,0.95222,0.31497,0.23395,0.75347,0.000363239,0.000363239,0.000363239
81,340.609,0.38665,0.26788,0.80518,0.99974,1,0.995,0.95098,0.32565,0.23204,0.75856,0.000346736,0.000346736,0.000346736
82,344.738,0.39925,0.27496,0.80741,0.99967,1,0.995,0.94827,0.35198,0.25583,0.75668,0.000330233,0.000330233,0.000330233
83,348.944,0.39029,0.26811,0.80238,0.99965,1,0.995,0.95734,0.29389,0.23284,0.75433,0.000313729,0.000313729,0.000313729
84,353.202,0.37888,0.26025,0.80393,0.99974,1,0.995,0.94838,0.32215,0.23376,0.75934,0.000297226,0.000297226,0.000297226
85,357.41,0.37639,0.26033,0.79854,0.99972,1,0.995,0.95697,0.30892,0.22155,0.7564,0.000280723,0.000280723,0.000280723
86,361.499,0.36824,0.25918,0.79863,0.99972,1,0.995,0.96005,0.29945,0.22678,0.75476,0.00026422,0.00026422,0.00026422
87,365.766,0.37146,0.26135,0.79652,0.99971,1,0.995,0.95602,0.31763,0.21427,0.75328,0.000247716,0.000247716,0.000247716
88,369.896,0.36572,0.2557,0.79541,0.99973,1,0.995,0.95325,0.3166,0.22285,0.75272,0.000231213,0.000231213,0.000231213
89,374.159,0.37988,0.26772,0.80164,0.99973,1,0.995,0.95405,0.31806,0.22351,0.75362,0.00021471,0.00021471,0.00021471
90,378.415,0.36032,0.25258,0.80128,0.99978,1,0.995,0.95409,0.3179,0.21467,0.75437,0.000198206,0.000198206,0.000198206
91,412.908,0.33527,0.26658,0.78079,0.99965,1,0.995,0.93237,0.36394,0.24622,0.75818,0.000181703,0.000181703,0.000181703
92,417.071,0.31268,0.24291,0.78301,0.9997,1,0.995,0.95376,0.3084,0.22905,0.74888,0.0001652,0.0001652,0.0001652
93,421.176,0.30965,0.23058,0.77578,0.99973,1,0.995,0.95519,0.32701,0.23296,0.75054,0.000148696,0.000148696,0.000148696
94,425.184,0.30936,0.22892,0.77897,0.99973,1,0.995,0.95648,0.31945,0.2253,0.75019,0.000132193,0.000132193,0.000132193
95,429.202,0.30043,0.22258,0.77978,0.99971,1,0.995,0.96091,0.29898,0.21288,0.74861,0.00011569,0.00011569,0.00011569
96,433.647,0.29883,0.22068,0.7825,0.99971,1,0.995,0.95752,0.30377,0.2135,0.75103,9.91865e-05,9.91865e-05,9.91865e-05
97,437.778,0.29771,0.21747,0.77682,0.99974,1,0.995,0.95504,0.318,0.21799,0.75432,8.26832e-05,8.26832e-05,8.26832e-05
98,441.921,0.29454,0.21451,0.78083,0.99974,1,0.995,0.95782,0.30104,0.21128,0.75295,6.61799e-05,6.61799e-05,6.61799e-05
99,446.368,0.3023,0.22299,0.78504,0.99974,1,0.995,0.95801,0.3071,0.21052,0.75298,4.96766e-05,4.96766e-05,4.96766e-05
100,450.457,0.29743,0.21818,0.78537,0.99974,1,0.995,0.95556,0.31972,0.21481,0.7543,3.31733e-05,3.31733e-05,3.31733e-05
