epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,463.247,1.10215,0.67774,0.95868,0.99614,0.97835,0.99385,0.68028,1.04687,0.61589,0.86922,0.000990365,0.000990365,0.000990365
43,476.003,1.06572,0.65476,0.94826,0.98853,0.97767,0.99173,0.66122,1.30576,0.67848,0.91549,0.000973861,0.000973861,0.000973861
44,488.253,1.10432,0.66895,0.9637,0.99005,0.98762,0.99399,0.73501,0.94738,0.56792,0.8405,0.000957358,0.000957358,0.000957358
45,500.889,1.07189,0.66319,0.94384,0.9967,0.98723,0.99457,0.64172,1.16678,0.63501,0.86913,0.000940855,0.000940855,0.000940855
46,518.497,1.04155,0.65026,0.94912,0.99351,0.98575,0.99431,0.72314,0.99358,0.55435,0.84851,0.000924352,0.000924352,0.000924352
47,537.972,1.05071,0.63347,0.94935,0.9921,0.98831,0.99425,0.71377,0.97099,0.53457,0.84178,0.000907848,0.000907848,0.000907848
48,557.536,1.05882,0.6245,0.94988,0.99574,0.98789,0.99427,0.68999,1.10517,0.6036,0.86311,0.000891345,0.000891345,0.000891345
49,578.068,1.06982,0.6535,0.9548,0.98804,0.98044,0.99387,0.80201,0.77282,0.54431,0.81595,0.000874842,0.000874842,0.000874842
50,597.838,1.07361,0.65111,0.94745,0.99533,0.98356,0.99438,0.77179,0.81565,0.54024,0.81932,0.000858338,0.000858338,0.000858338
51,616.673,1.05251,0.63535,0.94819,0.99134,0.98173,0.99406,0.76811,0.91795,0.55375,0.8351,0.000841835,0.000841835,0.000841835
52,634.069,1.07337,0.65276,0.94534,0.9915,0.96006,0.99193,0.77659,0.82914,0.5656,0.82895,0.000825332,0.000825332,0.000825332
53,654.307,1.06014,0.63551,0.94446,0.99564,0.98693,0.99472,0.79706,0.82417,0.49376,0.83472,0.000808828,0.000808828,0.000808828
54,673.288,1.03208,0.6166,0.9317,0.99312,0.98644,0.99475,0.75798,0.93915,0.54752,0.84599,0.000792325,0.000792325,0.000792325
55,694.581,0.99608,0.60504,0.93319,0.99579,0.98692,0.99475,0.80606,0.78406,0.47957,0.82579,0.000775822,0.000775822,0.000775822
56,716.011,1.05985,0.6146,0.93644,0.996,0.99058,0.99444,0.73479,0.97734,0.53465,0.85026,0.000759318,0.000759318,0.000759318
57,735.916,1.01008,0.59806,0.93785,0.99606,0.99107,0.99487,0.70304,1.07932,0.54862,0.88079,0.000742815,0.000742815,0.000742815
58,757.125,1.04327,0.61737,0.94905,0.98897,0.99269,0.99466,0.71387,1.03414,0.59314,0.86002,0.000726312,0.000726312,0.000726312
59,778.658,1.0196,0.61711,0.92882,0.99609,0.98683,0.99412,0.79905,0.82055,0.51598,0.82277,0.000709809,0.000709809,0.000709809
60,797.866,1.04461,0.60745,0.93312,0.99676,0.98572,0.99462,0.79658,0.75978,0.47619,0.81524,0.000693305,0.000693305,0.000693305
61,817.993,1.01674,0.61129,0.93527,0.99602,0.98647,0.99452,0.7862,0.78068,0.46759,0.82429,0.000676802,0.000676802,0.000676802
62,839.843,1.03489,0.6067,0.9399,0.99247,0.98853,0.99458,0.7805,0.81516,0.47401,0.81712,0.000660299,0.000660299,0.000660299
63,862.243,1.00903,0.61132,0.94058,0.99664,0.98619,0.99471,0.74686,0.9625,0.5241,0.84671,0.000643795,0.000643795,0.000643795
64,883.654,1.01813,0.58318,0.9368,0.99173,0.99104,0.99438,0.80411,0.77645,0.48876,0.81488,0.000627292,0.000627292,0.000627292
65,903.67,0.95998,0.56177,0.91852,0.99069,0.98634,0.99358,0.81965,0.69822,0.46294,0.80768,0.000610789,0.000610789,0.000610789
66,924.562,1.00044,0.58839,0.93432,0.99665,0.98923,0.99461,0.78578,0.85063,0.48888,0.8214,0.000594286,0.000594286,0.000594286
67,944.456,0.98798,0.56868,0.93521,0.99881,0.98725,0.99449,0.73889,1.09192,0.53266,0.86375,0.000577782,0.000577782,0.000577782
68,964.976,0.99459,0.56483,0.93073,0.99356,0.98507,0.99449,0.76208,0.98914,0.5042,0.84377,0.000561279,0.000561279,0.000561279
69,986.175,1.02879,0.57942,0.93377,0.99288,0.9867,0.99475,0.81242,0.74653,0.45076,0.81469,0.000544776,0.000544776,0.000544776
70,1007.21,0.97579,0.56876,0.92934,0.99649,0.98697,0.99474,0.82091,0.7528,0.46024,0.81335,0.000528272,0.000528272,0.000528272
71,1027.98,0.96996,0.56299,0.92481,0.99564,0.99063,0.99456,0.78336,0.90217,0.48827,0.83626,0.000511769,0.000511769,0.000511769
72,1042.24,0.96929,0.56823,0.92323,0.9949,0.99233,0.99454,0.78873,0.87213,0.494,0.82529,0.000495266,0.000495266,0.000495266
73,1061.24,0.95182,0.56141,0.9138,0.99407,0.98878,0.99455,0.80311,0.73932,0.47862,0.81345,0.000478762,0.000478762,0.000478762
74,1081.03,0.97877,0.54951,0.93132,0.99539,0.9843,0.99458,0.785,0.93767,0.50734,0.83848,0.000462259,0.000462259,0.000462259
75,1101.85,0.94499,0.53281,0.91759,0.99596,0.991,0.99449,0.79561,0.82383,0.47642,0.82363,0.000445756,0.000445756,0.000445756
76,1123.16,0.92329,0.53584,0.91218,0.99289,0.97988,0.99407,0.80739,0.78121,0.47162,0.81221,0.000429253,0.000429253,0.000429253
77,1144.3,0.93814,0.54641,0.92248,0.99634,0.98932,0.99398,0.80525,0.78254,0.46424,0.81429,0.000412749,0.000412749,0.000412749
78,1165.59,0.93576,0.53813,0.9048,0.99562,0.98872,0.99477,0.79922,0.81135,0.46598,0.81226,0.000396246,0.000396246,0.000396246
79,1186.99,0.95315,0.54392,0.92455,0.99569,0.99252,0.99474,0.78909,0.88412,0.46197,0.8242,0.000379743,0.000379743,0.000379743
80,1203.28,0.94293,0.54333,0.92985,0.99633,0.99167,0.99487,0.77245,0.95604,0.46813,0.83771,0.000363239,0.000363239,0.000363239
81,1214.08,0.92474,0.53897,0.92147,0.99645,0.98955,0.99487,0.8217,0.80068,0.45046,0.81073,0.000346736,0.000346736,0.000346736
82,1224.52,0.88757,0.50804,0.90137,0.99588,0.98899,0.99483,0.81701,0.77376,0.43526,0.81589,0.000330233,0.000330233,0.000330233
83,1235.04,0.87801,0.512,0.897,0.9967,0.98769,0.99484,0.80961,0.81413,0.44835,0.81943,0.000313729,0.000313729,0.000313729
84,1245.68,0.9238,0.51805,0.91422,0.99882,0.99114,0.99488,0.80663,0.84158,0.44212,0.82736,0.000297226,0.000297226,0.000297226
85,1257.08,0.91151,0.50968,0.91006,0.99641,0.99079,0.99492,0.79958,0.88211,0.45329,0.83533,0.000280723,0.000280723,0.000280723
86,1268.34,0.88026,0.50299,0.90536,0.99717,0.98986,0.9949,0.82789,0.76477,0.43162,0.81987,0.00026422,0.00026422,0.00026422
87,1279.6,0.91474,0.51141,0.92584,0.99555,0.99277,0.99488,0.81969,0.77932,0.4296,0.81772,0.000247716,0.000247716,0.000247716
88,1290.21,0.8677,0.50141,0.89219,0.99672,0.9928,0.99487,0.82108,0.77714,0.42552,0.81645,0.000231213,0.000231213,0.000231213
89,1308.69,0.87179,0.49916,0.90016,0.99827,0.99379,0.99478,0.80978,0.81141,0.41996,0.82293,0.00021471,0.00021471,0.00021471
90,1326,0.86149,0.48689,0.88947,0.9982,0.99284,0.99484,0.81434,0.76125,0.41771,0.81858,0.000198206,0.000198206,0.000198206
91,1380.93,0.76365,0.4392,0.87958,0.99211,0.99029,0.99472,0.81645,0.70619,0.41328,0.8044,0.000181703,0.000181703,0.000181703
92,1398.96,0.69993,0.40879,0.86671,0.99795,0.9891,0.99476,0.7999,0.77342,0.42238,0.81279,0.0001652,0.0001652,0.0001652
93,1417.99,0.70685,0.40121,0.86511,0.99717,0.99118,0.99467,0.81881,0.7365,0.42472,0.80375,0.000148696,0.000148696,0.000148696
94,1434.85,0.70694,0.40121,0.87192,0.99708,0.98908,0.99471,0.83544,0.66442,0.40616,0.79874,0.000132193,0.000132193,0.000132193
95,1453.84,0.6882,0.39696,0.8599,0.99856,0.99144,0.99476,0.82986,0.70505,0.40638,0.80571,0.00011569,0.00011569,0.00011569
96,1471.62,0.66503,0.38543,0.8654,0.99694,0.99044,0.99465,0.84491,0.66002,0.39487,0.798,9.91865e-05,9.91865e-05,9.91865e-05
97,1489.34,0.67202,0.38013,0.86293,0.99713,0.99228,0.99449,0.84386,0.65742,0.39942,0.79731,8.26832e-05,8.26832e-05,8.26832e-05
98,1507.47,0.64363,0.38093,0.8472,0.99641,0.99196,0.99463,0.84631,0.6548,0.39003,0.79844,6.61799e-05,6.61799e-05,6.61799e-05
99,1526.34,0.65404,0.38115,0.85944,0.99595,0.99188,0.99464,0.8372,0.68467,0.39686,0.7997,4.96766e-05,4.96766e-05,4.96766e-05
100,1545.02,0.64574,0.3808,0.85258,0.99634,0.99183,0.99469,0.83961,0.67576,0.39553,0.79881,3.31733e-05,3.31733e-05,3.31733e-05
